rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,st_teff,st_mass
1327,Kepler-1262,Transit,1,8.67900242,,,1153,5771,0.99
1328,Kepler-1263,Transit,1,4.55139967,,,695,5213,0.84
1329,Kepler-1264,Transit,1,0.96852602,,,814,5791,0.99
1330,Kepler-1265,Transit,1,6.49441289,,,581,4630,0.71
1331,Kepler-1266,Transit,1,28.474748,,,901,5044,0.8
1332,Kepler-1267,Transit,1,13.0313945,,,1628,6096,1.15
1333,Kepler-1268,Transit,1,40.9903986,,,1406,5904,1.06
1334,Kepler-1269,Transit,1,37.3331536,,,710,5998,1.1
1335,Kepler-127,Transit,3,14.435889,0.125,,,6106,
1336,Kepler-127,Transit,3,29.393195,0.2,,,6106,
1337,Kepler-127,Transit,3,48.630408,0.28,,,6106,
1338,Kepler-1270,Transit,1,6.03356196,,,1204,5047,1.28
1339,Kepler-1271,Transit,1,3.0255955,,,885,6143,1.13
1340,Kepler-1272,Transit,1,51.1309704,,,896,5926,1.06
1341,Kepler-1273,Transit,1,28.625653,,,1355,5566,0.94
1342,Kepler-1274,Transit,1,6.98152703,,,609,6179,1.45
1343,Kepler-1275,Transit,1,3.65691115,,,1280,6296,1.23
1344,Kepler-1276,Transit,1,12.5720095,,,587,6188,1.14
1345,Kepler-1277,Transit,1,40.8365012,,,606,5578,0.94
1346,Kepler-1278,Transit,1,3.23941344,,,743,6074,1.11
1347,Kepler-1279,Transit,1,23.4774101,,,1017,6221,1.21
1348,Kepler-128,Transit,2,15.09,,0.097,,6090,1.18
1349,Kepler-128,Transit,2,22.804,,0.105,,6090,1.18
1350,Kepler-1280,Transit,1,66.5579057,,,1006,6227,1.2
1351,Kepler-1281,Transit,1,3.11602791,,,1090,5353,0.87
1352,Kepler-1282,Transit,1,2.13194651,,,1126,5504,0.92
1353,Kepler-1283,Transit,1,12.9460978,,,1452,6175,1.16
1354,Kepler-1284,Transit,1,0.66407381,,,852,5123,0.84
1355,Kepler-1285,Transit,1,14.7967458,,,364,6170,1.2
1356,Kepler-1286,Transit,1,11.25402929,,,1150,5753,1
1357,Kepler-1287,Transit,1,11.47685909,,,1027,5715,0.96
1358,Kepler-1288,Transit,1,2.76122421,,,715,6132,1.2
1359,Kepler-1289,Transit,1,7.99019627,,,1059,6080,1.1
1360,Kepler-129,Transit,2,15.79186,0.131,,,5770,1.18
1361,Kepler-129,Transit,2,82.20017,0.393,,,5770,1.18
1362,Kepler-1290,Transit,1,4.69500134,,,1321,5660,0.95
1363,Kepler-1291,Transit,1,8.63043276,,,982,5216,0.84
1364,Kepler-1292,Transit,1,3.27646405,,,1406,5556,0.95
1365,Kepler-1293,Transit,1,5.57654784,,,770,6241,1.18
1366,Kepler-1294,Transit,1,115.6862258,,,1120,5776,0.99
1367,Kepler-1295,Transit,1,3.81371974,,,1257,5486,0.92
1368,Kepler-1296,Transit,1,8.3839865,,,631,5359,0.87
1369,Kepler-1297,Transit,1,1.68189002,,,996,5818,0.99
1370,Kepler-1298,Transit,1,7.12811928,,,498,6339,1.45
1371,Kepler-1299,Transit,1,19.9400874,,,1352,5609,0.94
1372,Kepler-130,Transit,3,8.457458,0.079,,,5884,1
1373,Kepler-130,Transit,3,27.50868,0.178,,,5884,1
1374,Kepler-130,Transit,3,87.517905,0.377,,,5884,1
1375,Kepler-1300,Transit,1,22.2419092,,,757,6130,1.29
1376,Kepler-1301,Transit,1,9.08237046,,,816,5188,0.85
1377,Kepler-1302,Transit,1,8.83922659,,,727,5236,0.86
1378,Kepler-1303,Transit,1,7.56127224,,,905,5771,1.01
1379,Kepler-1304,Transit,1,16.1288853,,,682,5259,0.85
1380,Kepler-1305,Transit,1,13.5630972,,,1343,5701,0.97
1381,Kepler-1306,Transit,1,16.29595382,,,1130,5727,0.98
1382,Kepler-1307,Transit,1,18.01621096,,,1396,5884,1.06
1383,Kepler-1308,Transit,1,2.10433812,,,73,3468,0.35
1384,Kepler-1309,Transit,1,28.8432647,,,845,5235,0.85
1385,Kepler-131,Transit,2,16.092,,0.051,,5685,1.02
1386,Kepler-131,Transit,2,25.5169,,0.026,,5685,1.02
1387,Kepler-1310,Transit,1,0.67933627,,,583,5549,0.91
1388,Kepler-1311,Transit,2,11.1726994,,,705,5748,1.05
1389,Kepler-1311,Transit,2,2.53573424,,,705,5748,1.05
1390,Kepler-1312,Transit,1,5.44832529,,,305,5719,0.99
1391,Kepler-1313,Transit,1,3.83309118,,,187,5453,0.92
1392,Kepler-1314,Transit,1,5.42474928,,,462,4188,0.6
1393,Kepler-1315,Transit,1,0.84338011,,,505,4861,0.8
1394,Kepler-1316,Transit,1,87.9732136,,,753,5884,1.04
1395,Kepler-1317,Transit,1,0.56887443,,,734,5144,0.83
1396,Kepler-1318,Transit,1,213.257663,,,475,4598,0.73
1397,Kepler-1319,Transit,1,2.88676265,,,114,3655,0.56
1398,Kepler-132,Transit,4,6.178196,0.067,,,6003,
1399,Kepler-132,Transit,4,6.414914,0.068,,,6003,
1400,Kepler-132,Transit,4,18.010199,0.136,,,6003,
1401,Kepler-132,Transit,4,110.2869374,,,,6003,
1402,Kepler-1320,Transit,1,0.86838653,,,771,4817,0.8
1403,Kepler-1321,Transit,2,11.12830484,,,547,4094,0.54
1404,Kepler-1321,Transit,2,2.22649109,,,547,4094,0.54
1405,Kepler-1322,Transit,1,0.96286738,,,1217,5488,0.9
1406,Kepler-1323,Transit,1,0.92990668,,,530,6169,1.18
1407,Kepler-1324,Transit,1,4.11584468,,,522,4776,0.78
1408,Kepler-1325,Transit,1,33.8786838,,,955,5550,0.93
1409,Kepler-1326,Transit,1,42.3514267,,,910,6725,1.45
1410,Kepler-1327,Transit,1,14.88801098,,,688,5885,1.02
1411,Kepler-1328,Transit,1,4.52158888,,,630,5780,1
1412,Kepler-1329,Transit,1,9.33646594,,,624,4500,0.72
1413,Kepler-133,Transit,2,8.129976,0.083,,,5736,
1414,Kepler-133,Transit,2,31.517586,0.204,,,5736,
1415,Kepler-1330,Transit,1,10.10769068,,,939,5608,0.97
1416,Kepler-1331,Transit,1,0.78916165,,,365,4508,0.72
1417,Kepler-1332,Transit,1,11.87456832,,,515,5581,0.95
1418,Kepler-1333,Transit,1,109.6471842,,,958,5628,0.94
1419,Kepler-1334,Transit,1,15.64591713,,,1047,5614,0.94
1420,Kepler-1335,Transit,1,6.26406846,,,628,4903,0.77
1421,Kepler-1336,Transit,2,23.198681,,,822,5512,0.94
1422,Kepler-1336,Transit,2,5.77721211,,,822,5512,0.94
1423,Kepler-1337,Transit,1,24.4002549,,,588,4523,0.7
1424,Kepler-1338,Transit,1,0.93511806,,,619,5909,1.04
1425,Kepler-1339,Transit,1,1.34155513,,,267,5586,0.94
1426,Kepler-134,Transit,2,5.317429,0.06,,,5983,
1427,Kepler-134,Transit,2,10.105785,0.092,,,5983,
1428,Kepler-1340,Transit,1,0.66502692,,,1421,6331,1.27
1429,Kepler-1341,Transit,1,132.9968322,,,466,4662,0.79
1430,Kepler-1342,Transit,1,2.21571036,,,941,5527,0.93
1431,Kepler-1343,Transit,1,3.35183158,,,1307,5759,0.95
1432,Kepler-1344,Transit,1,4.7683049,,,851,5981,1.09
1433,Kepler-1345,Transit,1,44.6169557,,,1164,6449,1.32
