rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,st_teff,st_mass
1,11 Com,Radial Velocity,1,326.03,1.29,19.4,110.62,4742,2.7
2,11 UMi,Radial Velocity,1,516.22,1.54,10.5,119.47,4340,1.8
3,14 And,Radial Velocity,1,185.84,0.83,4.8,76.39,4813,2.2
4,14 Her,Radial Velocity,1,1773.4,2.77,4.64,18.15,5311,0.9
5,16 Cyg B,Radial Velocity,1,798.5,1.681,1.68,21.41,5674,0.99
6,18 Del,Radial Velocity,1,993.3,2.6,10.3,73.1,4979,2.3
7,1RXS J160929.1-210524,Imaging,1,,330,8,145,4060,0.85
8,24 Sex,Radial Velocity,2,452.8,1.333,1.99,74.79,5098,1.54
9,24 Sex,Radial Velocity,2,883,2.08,0.86,74.79,5098,1.54
10,2MASS J01225093-2439505,Imaging,1,,52,24.5,36,3530,0.4
11,2MASS J02192210-3925225,Imaging,1,,156,13.9,39.4,3064,0.11
12,2MASS J04414489+2301513,Imaging,1,,15,7.5,140,,0.02
13,2MASS J12073346-3932539,Imaging,1,,46,4,52.4,,0.02
14,2MASS J19383260+4603591,Eclipse Timing Variations,1,416,0.92,1.9,,,0.48
15,2MASS J21402931+1625183 A,Imaging,1,7336.5,,20.95,25,2300,0.08
16,2MASS J22362452+4751425,Imaging,1,,230,12.5,74,4045,0.6
17,30 Ari B,Radial Velocity,1,335.1,0.995,9.88,39.43,6300,1.16
18,4 UMa,Radial Velocity,1,269.3,0.87,7.1,77.4,4415,1.23
19,42 Dra,Radial Velocity,1,479.1,1.19,3.88,97.28,4200,0.98
20,47 UMa,Radial Velocity,3,1078,2.1,2.53,14.08,5892,1.03
21,47 UMa,Radial Velocity,3,2391,3.6,0.54,14.08,5892,1.03
22,47 UMa,Radial Velocity,3,14002,11.6,1.64,14.08,5892,1.03
23,51 Eri,Imaging,1,,13.2,2,29.4,,1.75
24,51 Peg,Radial Velocity,1,4.230785,0.0527,0.472,15.36,5793,1.12
25,55 Cnc,Radial Velocity,5,14.65152,0.115227,0.8306,12.53,5196,0.91
26,55 Cnc,Radial Velocity,5,44.4175,0.241376,0.1714,12.53,5196,0.91
27,55 Cnc,Radial Velocity,5,4825,5.503,3.878,12.53,5196,0.91
28,55 Cnc,Radial Velocity,5,0.736539,0.01544,0.02542,12.53,5196,0.91
29,55 Cnc,Radial Velocity,5,262,0.788,0.141,12.53,5196,0.91
30,6 Lyn,Radial Velocity,1,874.774,2.18,2.21,56.95,4978,1.7
31,61 Vir,Radial Velocity,3,4.215,0.050201,0.016,8.52,5577,0.94
32,61 Vir,Radial Velocity,3,38.021,0.2175,0.057,8.52,5577,0.94
33,61 Vir,Radial Velocity,3,123.01,0.476,0.072,8.52,5577,0.94
34,7 CMa,Radial Velocity,1,796,1.93,2.46,19.84,4792,1.52
35,70 Vir,Radial Velocity,1,116.6926,0.481,7.4,18.11,5439,1.09
36,75 Cet,Radial Velocity,1,691.9,2.1,3,81.5,4846,2.49
37,8 UMi,Radial Velocity,1,93.4,0.49,1.5,159.1,4847.4,1.8
38,81 Cet,Radial Velocity,1,952.7,2.5,5.3,97.18,4785,2.4
39,91 Aqr,Radial Velocity,1,181.4,0.7,3.2,45.52,4665,1.4
40,AB Pic,Imaging,1,,260,13.5,45.52,,
41,BD+03 2562,Radial Velocity,1,481.9,1.3,6.4,2618,4095,1.14
42,BD+14 4559,Radial Velocity,1,268.94,0.777,1.47,50.03,5008,0.86
43,BD+15 2375,Radial Velocity,1,153.22,0.576,1.061,774,4649,1.08
44,BD+15 2940,Radial Velocity,1,137.48,0.539,1.11,175.44,4796,1.1
45,BD+20 1790,Radial Velocity,1,7.78287,0.066,6.37,25.4,4410,0.63
46,BD+20 2457,Radial Velocity,2,379.63,1.45,21.42,200,4137,2.8
47,BD+20 2457,Radial Velocity,2,621.99,2.01,12.47,200,4137,2.8
48,BD+20 274,Radial Velocity,1,578.2,1.3,4.2,,4296,0.8
49,BD+20 594,Transit,1,41.6855,0.241,0.05129,,5766,0.96
50,BD+48 738,Radial Velocity,1,392.6,1,0.91,,4414,0.74
51,BD+49 828,Radial Velocity,1,2590,4.2,1.6,,4943,1.52
52,BD-06 1339,Radial Velocity,2,3.8728,0.0428,0.027,20.1,4324,0.7
53,BD-06 1339,Radial Velocity,2,125.94,0.435,0.17,20.1,4324,0.7
54,BD-08 2823,Radial Velocity,2,5.6,0.056,0.045,42.09,4746,0.74
55,BD-08 2823,Radial Velocity,2,237.6,0.68,0.33,42.09,4746,0.74
56,BD-10 3166,Radial Velocity,1,3.48777,0.0452,0.458,80,5393,1.01
57,BD-11 4672,Radial Velocity,1,1667,2.28,0.53,27.3,4475,0.57
58,BD-13 2130,Radial Velocity,1,714.3,2.1,10.6,766,,2.4
59,BD-17 63,Radial Velocity,1,655.6,1.34,5.1,37.54,4714,0.74
60,CFBDSIR J145829+101343,Imaging,1,10037.5,2.6,10.5,23.1,580.5,0.02
61,CHXR 73,Imaging,1,,210,12.569,,,0.35
62,CT Cha,Imaging,1,,440,17,165,,
63,CoRoT-1,Transit,1,1.5089557,,1.03,,5950,0.95
64,CoRoT-10,Transit,1,13.2406,0.1055,2.75,345,5075,0.89
65,CoRoT-11,Transit,1,2.99433,0.0436,2.33,560,6440,1.27
66,CoRoT-12,Transit,1,2.828042,0.04016,0.917,1150,5675,1.08
67,CoRoT-13,Transit,1,4.03519,0.051,1.308,1060,5945,1.09
68,CoRoT-14,Transit,1,1.51214,0.027,7.6,1340,6035,1.13
69,CoRoT-16,Transit,1,5.35227,0.0618,0.535,840,5650,1.1
70,CoRoT-17,Transit,1,3.7681,0.0461,2.43,920,5740,1.04
71,CoRoT-18,Transit,1,1.9000693,0.0295,3.47,870,5440,0.95
72,CoRoT-19,Transit,1,3.89713,0.0518,1.11,770,6090,1.21
73,CoRoT-2,Transit,1,1.7429935,0.02798,3.47,200,5625,0.96
74,CoRoT-20,Transit,1,9.24285,0.0902,4.24,1230,5880,1.14
75,CoRoT-22,Transit,1,9.75598,0.092,0.038,592,5939,1.1
76,CoRoT-23,Transit,1,3.6313,0.048,2.8,600,5900,1.14
77,CoRoT-24,Transit,2,5.1134,0.056,0.018,600,4950,0.91
78,CoRoT-24,Transit,2,11.759,0.098,0.088,600,4950,0.91
79,CoRoT-25,Transit,1,4.86069,0.0578,0.27,1000,6040,1.09
80,CoRoT-26,Transit,1,4.20474,0.0526,0.52,1670,5590,1.09
81,CoRoT-27,Transit,1,3.57532,0.0476,10.39,,5900,1.05
82,CoRoT-28,Transit,1,5.20851,0.0603,0.484,560,5150,1.01
83,CoRoT-29,Transit,1,2.85057,0.0386,0.85,765,5260,0.97
84,CoRoT-3,Transit,1,4.2568,,21.66,680,6740,1.37
85,CoRoT-4,Transit,1,9.20205,0.09,0.72,,6190,1.16
86,CoRoT-5,Transit,1,4.0378962,0.04947,0.467,,6100,1
87,CoRoT-6,Transit,1,8.886593,0.0855,2.96,,6090,1.05
88,CoRoT-7,Transit,2,0.85359159,0.017016,0.018,153.7,5259,0.91
89,CoRoT-7,Radial Velocity,2,3.698,0.046,0.02643,153.7,5259,0.91
90,CoRoT-8,Transit,1,6.21229,0.063,0.22,380,5080,0.88
91,CoRoT-9,Transit,1,95.272656,0.4021,0.84,460,5625,0.96
92,CoRoTID 223977153,Transit,1,6.71837,0.071,0.15,,5970,1.08
93,DENIS-P J082303.1-491201,Astrometry,1,246.36,0.36,28.5,20.77,,0.07
94,DH Tau,Imaging,1,,330,11,140,,0.33
95,DP Leo,Eclipse Timing Variations,1,10220,8.19,6.05,,,0.69
96,EPIC 211822797,Transit,1,21.169861,0.131,,,4148.21,0.66
97,EPIC 220674823,Transit,2,0.571336,0.01312,0.02832,,5496,0.92
98,EPIC 220674823,Transit,2,13.3387,0.1071,0.01793,,5496,0.92
99,FU Tau,Imaging,1,,800,16,140,2838,0.05
100,Fomalhaut,Imaging,1,555530,160,,7.69,,2
101,GJ 1132,Transit,1,1.6289287,0.01533,0.00513,12.04,,0.18
102,GJ 1148,Radial Velocity,2,41.38,0.166,0.30425,11.03,,
103,GJ 1148,Radial Velocity,2,532.58,0.912,0.21414,11.03,,
104,GJ 1214,Transit,1,1.58040456,0.01411,0.0197,12.95,3170,0.16
105,GJ 163,Radial Velocity,3,8.63182,0.0607,0.03335,14.97,3500,0.4
106,GJ 163,Radial Velocity,3,25.63058,0.1254,0.0214,14.97,3500,0.4
107,GJ 163,Radial Velocity,3,603.95116,1.0304,0.0925,14.97,3500,0.4
108,GJ 179,Radial Velocity,1,2288,2.41,0.82,12.12,3370,0.36
109,GJ 273,Radial Velocity,2,18.6498,0.091101,0.00909,3.8,3382,0.29
110,GJ 273,Radial Velocity,2,4.7234,0.036467,0.00371,3.8,3382,0.29
111,GJ 3021,Radial Velocity,1,133.71,0.49,3.37,17.62,5540,0.9
112,GJ 3138,Radial Velocity,3,1.22003,0.0197,0.0056,28.48,3717,0.68
113,GJ 3138,Radial Velocity,3,5.974,0.057,0.01315,28.48,3717,0.68
114,GJ 3138,Radial Velocity,3,257.8,0.698,0.03304,28.48,3717,0.68
115,GJ 317,Radial Velocity,1,692,1.15,2.5,15.1,3510,0.42
116,GJ 328,Radial Velocity,1,4100,4.5,2.3,20.03,3900,0.69
117,GJ 3293,Radial Velocity,4,30.5987,0.14339,0.07406,15.77,3466,0.42
118,GJ 3293,Radial Velocity,4,122.6196,0.36175,0.06636,15.77,3466,0.42
119,GJ 3293,Radial Velocity,4,48.1345,0.19394,0.02391,15.77,3466,0.42
120,GJ 3293,Radial Velocity,4,13.2543,0.08208,0.01032,15.77,3466,0.42
121,GJ 3323,Radial Velocity,2,5.3636,0.03282,0.00636,5.32,3159,0.16
122,GJ 3323,Radial Velocity,2,40.54,0.1264,0.00727,5.32,3159,0.16
123,GJ 3341,Radial Velocity,1,14.207,0.089,0.0208,23.16,3526,0.47
124,GJ 3470,Radial Velocity,1,3.3366487,0.031,0.043,25.2,3652,0.51
125,GJ 3634,Radial Velocity,1,2.64561,0.0287,0.026,19.8,,0.45
126,GJ 3942,Radial Velocity,1,6.905,0.0608,0.02246,16.96,3867,0.63
127,GJ 3998,Radial Velocity,2,2.64977,0.029,0.00777,17.79,3722,0.5
128,GJ 3998,Radial Velocity,2,13.74,0.089,0.0197,17.79,3722,0.5
129,GJ 433,Radial Velocity,1,7.3709,0.058,0.018,9.04,3600,0.48
130,GJ 436,Radial Velocity,1,2.64388312,0.0291,0.07,10.23,,0.47
131,GJ 504,Imaging,1,,43.5,4,17.95,6234,1.22
132,GJ 536,Radial Velocity,1,8.7076,0.06661,0.01686,10.03,3685,0.52
133,GJ 581,Radial Velocity,3,5.3686,0.04061,0.0497,6.27,,0.31
134,GJ 581,Radial Velocity,3,12.914,0.0721,0.0173,6.27,,0.31
135,GJ 581,Radial Velocity,3,3.149,0.02815,0.0053,6.27,,0.31
136,GJ 625,Radial Velocity,1,14.628,0.078361,0.00887,6.49,3499,0.3
137,GJ 649,Radial Velocity,1,598.3,1.135,0.328,10.32,3700,0.54
138,GJ 667 C,Radial Velocity,5,7.2004,0.0505,0.018,6.8,3350,0.33
139,GJ 667 C,Radial Velocity,5,28.14,0.125,0.012,6.8,3350,0.33
140,GJ 667 C,Radial Velocity,5,62.24,0.213,0.008,6.8,3350,0.33
141,GJ 667 C,Radial Velocity,5,39.026,0.156,0.008,6.8,3350,0.33
142,GJ 667 C,Radial Velocity,5,256.2,0.549,0.014,6.8,3350,0.33
143,GJ 674,Radial Velocity,1,4.6938,0.039,0.035,4.54,3600,0.35
144,GJ 676 A,Radial Velocity,4,1051.1,1.812,6.7,16.9,,0.71
145,GJ 676 A,Radial Velocity,4,7337,6.6,6.8,16.9,,0.71
146,GJ 676 A,Radial Velocity,4,3.6005,,0.014,16.9,,0.71
147,GJ 676 A,Radial Velocity,4,35.39,,0.025,16.9,,0.71
148,GJ 687,Radial Velocity,1,38.14,0.16353,0.058,4.53,3413,0.41
149,GJ 832,Radial Velocity,2,3657,3.56,0.68,4.94,3472,0.45
150,GJ 832,Radial Velocity,2,35.68,0.163,0.017,4.94,3472,0.45
151,GJ 849,Radial Velocity,1,1845,2.32,0.91,8.77,,0.49
152,GJ 86,Radial Velocity,1,15.76491,0.113,3.91,10.91,5151,0.77
153,GJ 876,Radial Velocity,4,61.1166,0.208317,2.2756,4.7,,0.33
154,GJ 876,Radial Velocity,4,30.0881,0.12959,0.7142,4.7,,0.33
155,GJ 876,Radial Velocity,4,1.93778,0.020807,0.021,4.7,,0.33
156,GJ 876,Radial Velocity,4,124.26,0.3343,0.046,4.7,,0.33
157,GJ 9827,Transit,3,1.208957,0.02,,30.3,4255,0.66
158,GJ 9827,Transit,3,3.64802,0.042,,30.3,4255,0.66
159,GJ 9827,Transit,3,6.20141,0.06,,30.3,4255,0.66
160,GQ Lup,Imaging,1,,100,20,139,,0.7
161,GSC 06214-00210,Imaging,1,,320,16,145,4200,0.9
162,GU Psc,Imaging,1,,2000,11.3,48,,0.33
163,HAT-P-1,Transit,1,4.46529976,0.05561,0.525,139,5980,1.15
164,HAT-P-11,Transit,1,4.8878162,0.053,0.081,38,4780,0.81
165,HAT-P-12,Transit,1,3.2130598,0.0384,0.211,142.5,4650,0.73
166,HAT-P-13,Transit,2,2.91625,,0.851,214,5653,1.22
167,HAT-P-13,Radial Velocity,2,446.27,,14.28,214,5653,1.22
168,HAT-P-14,Transit,1,4.627669,0.0606,2.232,205,6600,1.39
169,HAT-P-15,Transit,1,10.863502,0.0964,1.946,190,5568,1.01
170,HAT-P-16,Transit,1,2.77596,0.0413,4.193,235,6158,1.22
171,HAT-P-17,Transit,2,10.338523,0.0882,0.534,90,5246,0.86
172,HAT-P-17,Radial Velocity,2,5584,5.6,3.4,90,5246,0.86
173,HAT-P-18,Transit,1,5.508023,0.0559,0.197,166,4803,0.77
174,HAT-P-19,Transit,1,4.008778,0.0466,0.292,215,4990,0.84
175,HAT-P-2,Transit,1,5.6334729,0.06878,9.09,135.32,6290,1.36
176,HAT-P-20,Transit,1,2.875317,0.0361,7.246,70,4595,0.76
177,HAT-P-21,Transit,1,4.124481,0.0494,4.063,254,5588,0.95
178,HAT-P-22,Transit,1,3.21222,0.0414,2.147,82,5302,0.92
179,HAT-P-23,Transit,1,1.21288287,0.02302,2.07,393,5885,1.1
180,HAT-P-24,Transit,1,3.35524,0.0465,0.685,396,6373,1.19
181,HAT-P-25,Transit,1,3.652836,0.0466,0.567,297,5500,1.01
182,HAT-P-26,Transit,1,4.234516,0.0479,0.059,134,5079,0.82
183,HAT-P-27,Transit,1,3.039577,0.04,0.62,204,5300,0.94
184,HAT-P-28,Transit,1,3.257215,0.0434,0.626,395,5680,1.02
185,HAT-P-29,Transit,1,5.723186,0.0667,0.778,322,6087,1.21
186,HAT-P-3,Transit,1,2.899736,0.03866,0.591,138,5185,0.92
187,HAT-P-30,Transit,1,2.810595,0.0419,0.711,193,6304,1.24
188,HAT-P-31,Transit,1,5.005425,0.055,2.171,354,6065,1.22
189,HAT-P-32,Transit,1,2.15000805,0.0343,,283,6269,
190,HAT-P-33,Transit,1,3.474474,0.0499,0.762,387,6446,1.38
191,HAT-P-34,Transit,1,5.452654,0.0677,3.328,257,6442,1.39
192,HAT-P-35,Transit,1,3.646706,0.0498,1.054,535,6096,1.24
193,HAT-P-36,Transit,1,1.327347,0.0238,1.832,317,5560,1.02
194,HAT-P-37,Transit,1,2.797436,0.0379,1.169,411,5500,0.93
195,HAT-P-38,Transit,1,4.640382,0.0523,0.267,249,5330,0.89
196,HAT-P-39,Transit,1,3.54387,0.0509,0.599,642,6430,1.4
197,HAT-P-4,Transit,1,3.056536,0.04438,0.671,314,5860,1.26
198,HAT-P-40,Transit,1,4.457243,0.0608,0.615,501,6080,1.51
199,HAT-P-41,Transit,1,2.694047,0.0426,0.8,344,6390,1.42
200,HAT-P-42,Transit,1,4.641878,0.0575,1.044,447,5743,1.18
201,HAT-P-43,Transit,1,3.332687,0.0443,0.662,542,5645,1.05
202,HAT-P-44,Transit,2,4.301219,0.0507,0.352,363,5295,0.94
203,HAT-P-44,Radial Velocity,2,872.2,1.752,4,363,5295,0.94
204,HAT-P-45,Transit,1,3.128992,0.0452,0.892,305,6330,1.26
205,HAT-P-46,Transit,1,4.463129,0.0577,0.493,296,6120,1.28
206,HAT-P-49,Transit,1,2.691548,0.0438,1.73,322,6820,1.54
207,HAT-P-5,Transit,1,2.788491,0.04075,1.06,340,5960,1.16
208,HAT-P-50,Transit,1,3.1220109,0.0453,1.35,497,6280,1.27
209,HAT-P-51,Transit,1,4.2180278,0.05069,0.309,470,5449,0.98
210,HAT-P-52,Transit,1,2.7535953,0.03694,0.818,385,5131,0.89
211,HAT-P-53,Transit,1,1.9616241,0.03159,1.484,719,5956,1.09
212,HAT-P-54,Transit,1,3.799847,0.04117,0.76,,4390,0.65
213,HAT-P-55,Transit,1,3.5852467,0.04604,0.582,480,5808,1.01
214,HAT-P-56,Transit,1,2.7908327,0.0423,2.18,310.5,6566,1.3
215,HAT-P-57,Transit,1,2.465295,0.0406,1.85,303,7500,1.47
216,HAT-P-6,Transit,1,3.852985,0.05235,1.057,261,6570,1.29
217,HAT-P-65,Transit,1,2.6054552,0.03951,0.527,841,5835,1.21
218,HAT-P-66,Transit,1,2.972086,0.04363,0.783,927,6002,1.25
219,HAT-P-67,Transit,1,4.8101025,0.06505,0.34,320,6406,1.64
220,HAT-P-7,Transit,1,2.2047372,0.03676,1.682,320,6441,1.47
221,HAT-P-8,Transit,1,3.0763776,0.0487,1.52,230,6200,1.28
222,HAT-P-9,Transit,1,3.92289,0.053,0.78,480,6350,1.28
223,HATS-1,Transit,1,3.446459,0.0444,1.855,303,5870,0.99
224,HATS-10,Transit,1,3.312846,0.04491,0.526,496,5880,1.1
225,HATS-11,Transit,1,3.6191634,,0.83,,6060,1
226,HATS-12,Transit,1,3.1428347,,2.39,,6408,1.49
227,HATS-13,Transit,1,3.0440499,0.04057,0.543,476,5523,0.96
228,HATS-14,Transit,1,2.7667641,0.03815,1.071,513,5346,0.97
229,HATS-15,Transit,1,1.74748753,0.02712,2.17,689,5311,0.87
230,HATS-16,Transit,1,2.686502,0.03744,3.27,774,5738,0.97
231,HATS-17,Transit,1,16.254611,0.1308,1.338,339,5846,1.13
232,HATS-18,Transit,1,0.8378434,0.01761,1.98,645,5600,1.04
233,HATS-2,Transit,1,1.354133,0.023,1.345,360,5227,0.88
234,HATS-22,Transit,1,4.7228124,0.05025,2.74,207.9,4803,0.76
235,HATS-23,Transit,1,2.1605156,0.03397,1.47,747,5780,1.12
236,HATS-24,Transit,1,1.3484954,0.02547,2.44,510,6346,1.21
237,HATS-25,Transit,1,4.2986432,0.05163,0.613,466,5715,0.99
238,HATS-26,Transit,1,3.3023881,0.04735,0.65,907,6071,1.3
239,HATS-27,Transit,1,4.637038,0.0611,0.53,840,6438,1.42
240,HATS-28,Transit,1,3.1810781,0.04131,0.672,521,5498,0.93
241,HATS-29,Transit,1,4.6058749,0.05475,0.653,351,5670,1.03
242,HATS-3,Transit,1,3.547851,0.0485,1.071,453,6351,1.21
243,HATS-30,Transit,1,3.1743516,0.04354,0.706,339,5943,1.09
244,HATS-31,Transit,1,3.37796,0.0478,0.88,872,6050,1.27
245,HATS-32,Transit,1,2.8126548,0.04024,0.92,839,5700,1.1
246,HATS-33,Transit,1,2.5495551,0.03727,1.192,255,5659,1.06
247,HATS-34,Transit,1,2.1061607,0.03166,0.941,532,5380,0.95
248,HATS-35,Transit,1,1.8209993,0.03199,1.222,557,6300,1.32
249,HATS-36,Transit,1,4.1752387,0.05425,3.216,962,6149,1.22
250,HATS-4,Transit,1,2.516729,0.0362,1.323,420,5403,1
251,HATS-5,Transit,1,4.763387,0.0542,0.237,257,5304,0.94
252,HATS-50,Transit,1,3.8297015,0.05046,0.39,717,5990,1.17
253,HATS-51,Transit,1,3.3488702,0.04639,0.768,478,5758,1.19
254,HATS-52,Transit,1,1.36665436,0.02498,2.24,631,6010,1.11
255,HATS-53,Transit,1,3.8537768,0.04753,0.595,613,5644,0.96
256,HATS-6,Transit,1,3.3252725,0.03623,0.319,148.4,3724,0.57
257,HATS-8,Transit,1,3.583893,0.04667,0.138,829,5679,1.06
258,HATS-9,Transit,1,1.915311,,0.816,622,5366,1.03
259,HD 100546,Imaging,1,,53,,97,10500,2.4
260,HD 100655,Radial Velocity,1,157.57,0.76,1.7,140.85,4861,2.4
261,HD 100777,Radial Velocity,1,383.7,1.03,1.16,52.8,5582,1.01
262,HD 10180,Radial Velocity,6,5.75969,0.06412,0.0416,39.02,5911,1.06
263,HD 10180,Radial Velocity,6,16.357,0.12859,0.0378,39.02,5911,1.06
264,HD 10180,Radial Velocity,6,49.748,0.2699,0.0805,39.02,5911,1.06
265,HD 10180,Radial Velocity,6,122.744,0.4929,0.0722,39.02,5911,1.06
266,HD 10180,Radial Velocity,6,604.67,1.427,0.0732,39.02,5911,1.06
267,HD 10180,Radial Velocity,6,2205,3.381,0.2066,39.02,5911,1.06
268,HD 101930,Radial Velocity,1,70.46,0.302,0.3,30.5,5079,0.74
269,HD 102117,Radial Velocity,1,20.8133,0.1532,0.172,42,5695,1.11
270,HD 102195,Radial Velocity,1,4.113775,,0.45,28.98,5291,0.87
271,HD 102272,Radial Velocity,1,127.58,0.614,5.9,164.2,4908,1.9
272,HD 102329,Radial Velocity,1,778.1,2.03,5.9,138.5,4830,1.95
273,HD 102365,Radial Velocity,1,122.1,0.46,0.05,9.24,5630,0.85
274,HD 102956,Radial Velocity,1,6.495,0.081,0.96,121.07,5054,1.68
275,HD 103197,Radial Velocity,1,47.84,0.249,0.098,49.33,5303,0.9
276,HD 103720,Radial Velocity,1,4.5557,0.0498,0.62,41.6,5017,0.79
277,HD 103774,Radial Velocity,1,5.8881,0.07,0.367,53.08,6489,1.33
278,HD 104067,Radial Velocity,1,55.806,0.2643,0.186,20.82,4969,0.79
279,HD 10442,Radial Velocity,1,1043,2.335,2.1,,5034,1.56
280,HD 104985,Radial Velocity,1,199.505,0.95,8.3,102.04,,
281,HD 106252,Radial Velocity,1,1531,2.611,6.92,37.4,5870,1.01
282,HD 106270,Radial Velocity,1,2890,4.3,11,87.87,5638,1.32
283,HD 106315,Transit,2,9.55385,0.08887,,,6254,1.03
284,HD 106315,Transit,2,21.058,0.1503,,,6254,1.03
285,HD 10647,Radial Velocity,1,989.2,2.015,0.94,17.35,6218,1.11
286,HD 106515 A,Radial Velocity,1,3630,4.59,9.61,36.36,5362,0.97
287,HD 106906,Imaging,1,,650,11,91.83,6516,1.5
288,HD 10697,Radial Velocity,1,1075.2,2.131,6.21,32.6,5680,1.11
289,HD 107148,Radial Velocity,1,48.056,0.269,0.21,51.26,5797,1.12
290,HD 108147,Radial Velocity,1,10.8985,0.102,0.261,38.56,6265,1.27
291,HD 108341,Radial Velocity,1,1129,2,3.5,49.4,5122,0.84
292,HD 108863,Radial Velocity,1,443.4,1.4,2.6,138.5,4956,1.85
293,HD 108874,Radial Velocity,2,395.8,1.038,1.29,68.5,5551,0.95
294,HD 108874,Radial Velocity,2,1624,2.659,0.99,68.5,5551,0.95
295,HD 109246,Radial Velocity,1,68.27,0.33,0.77,65.6,5844,1.01
296,HD 109271,Radial Velocity,2,7.8543,0.079,0.054,56.92,5783,1.05
297,HD 109271,Radial Velocity,2,30.93,0.196,0.076,56.92,5783,1.05
298,HD 109749,Radial Velocity,1,5.24,0.0635,0.28,59.03,5903,1.2
299,HD 110014,Radial Velocity,1,835.477,2.14,11.09,90,4445,2.17
300,HD 111232,Radial Velocity,1,1143,1.97,6.8,28.88,5494,0.78
301,HD 111591,Radial Velocity,1,1056.4,2.5,4.4,108.46,4884,1.94
302,HD 111998,Radial Velocity,1,825.9,1.82,4.51,32.73,6557,1.18
303,HD 113337,Radial Velocity,1,324,0.92,2.83,37.42,6576.6,1.4
304,HD 113538,Radial Velocity,2,663.2,1.24,0.36,15.9,4462,0.58
305,HD 113538,Radial Velocity,2,1818,2.44,0.93,15.9,4462,0.58
306,HD 113996,Radial Velocity,1,610.2,1.6,6.3,101.63,4181,1.49
307,HD 114386,Radial Velocity,1,937.7,1.65,1.24,28.04,4804,0.68
308,HD 114613,Radial Velocity,1,3827,5.16,0.48,20.48,5729,1.36
309,HD 114729,Radial Velocity,1,1114,2.11,0.95,35,5821,1
310,HD 114762,Radial Velocity,1,83.9151,0.353,10.98,40.57,5673,0.83
311,HD 114783,Radial Velocity,1,493.7,1.16,1.1,20.4,5135,0.85
312,HD 11506,Radial Velocity,2,1627.5,2.708,4.21,51.7,6055,1.24
313,HD 11506,Radial Velocity,2,223.6,0.721,0.36,51.7,6055,1.24
314,HD 116029,Radial Velocity,1,670,1.78,2.1,110.62,4951,1.58
315,HD 117207,Radial Velocity,1,2597,3.79,1.88,33.01,5724,1.08
316,HD 11755,Radial Velocity,1,433.7,1.08,6.5,231.5,4312.5,0.9
317,HD 117618,Radial Velocity,1,25.827,0.176,0.178,38.02,5990,1.08
318,HD 118203,Radial Velocity,1,6.1335,0.07,2.13,88.57,5600,1.23
319,HD 11964,Radial Velocity,2,1945,3.16,0.622,33.98,5349,1.12
320,HD 11964,Radial Velocity,2,37.91,0.229,0.0788,33.98,5349,1.12
321,HD 11977,Radial Velocity,1,711,1.93,6.54,66.49,4970,1.91
322,HD 120084,Radial Velocity,1,2082,4.3,4.5,97.66,4892,2.39
323,HD 121504,Radial Velocity,1,63.33,0.33,1.22,44.37,6075,1.18
324,HD 12484,Radial Velocity,1,58.83,0.297,2.98,51.1,5920,1.01
325,HD 125595,Radial Velocity,1,9.6737,0.0809,0.041,27.45,,
326,HD 125612,Radial Velocity,3,559.4,1.37,3,52.83,5900,1.09
327,HD 125612,Radial Velocity,3,4.1547,0.05,0.058,52.83,5900,1.09
328,HD 125612,Radial Velocity,3,3008,4.2,7.2,52.83,5900,1.09
329,HD 12648,Radial Velocity,1,133.6,0.54,2.9,158.4,4835.8,1.2
330,HD 12661,Radial Velocity,2,262.709,0.8079,2.176,37.16,5748,1.02
331,HD 12661,Radial Velocity,2,1708,2.8145,1.812,37.16,5748,1.02
332,HD 126614,Radial Velocity,1,1244,2.35,0.38,68.35,5585,1.15
333,HD 128311,Radial Velocity,2,453.019,1.084,1.769,16.52,,0.83
334,HD 128311,Radial Velocity,2,921.538,1.74,3.789,16.52,,0.83
335,HD 128356,Radial Velocity,1,298.2,0.87,0.89,26.03,4875,0.65
336,HD 129445,Radial Velocity,1,1840,2.9,1.6,67.61,,0.99
337,HD 130322,Radial Velocity,1,10.70871,0.0925,1.15,29.76,5387,0.92
338,HD 131496,Radial Velocity,1,883,2.09,2.2,121.36,4927,1.61
339,HD 131664,Radial Velocity,1,1951,3.17,18.15,57.21,5886,1.1
340,HD 13189,Radial Velocity,1,471.6,1.85,14,300.3,,
341,HD 132406,Radial Velocity,1,974,1.98,5.61,70.97,,
342,HD 132563,Radial Velocity,1,1544,2.62,1.49,98.52,,
343,HD 133131 A,Radial Velocity,2,649,1.44,1.42,47,5799,0.95
344,HD 133131 A,Radial Velocity,2,3568,4.49,0.42,47,5799,0.95
345,HD 133131 B,Radial Velocity,1,5769,6.15,2.5,47,5805,0.93
346,HD 134987,Radial Velocity,2,258.19,0.81,1.59,22.2,5585,1.1
347,HD 134987,Radial Velocity,2,5000,5.8,0.82,22.2,5585,1.1
348,HD 136418,Radial Velocity,1,464.3,1.32,2,106.38,5071,1.33
349,HD 137388 A,Radial Velocity,1,330,0.89,0.223,38.45,5240,0.86
350,HD 13908,Radial Velocity,2,19.382,0.154,0.865,66.89,6255,1.29
351,HD 13908,Radial Velocity,2,931,2.03,5.13,66.89,6255,1.29
